iter	Passed	Remaining
807	6521	1549
808	6527	1541
809	6535	1532
810	6541	1524
811	6548	1516
812	6555	1507
813	6561	1499
814	6569	1491
815	6576	1482
816	6583	1474
817	6590	1466
818	6596	1457
819	6604	1449
820	6611	1441
821	6621	1433
822	6628	1425
823	6638	1417
824	6645	1409
825	6657	1402
826	6665	1394
827	6672	1386
828	6678	1377
829	6688	1369
830	6694	1361
831	6705	1353
832	6714	1346
833	6724	1338
834	6734	1330
835	6744	1323
836	6754	1315
837	6762	1307
838	6769	1299
839	6777	1290
840	6785	1282
841	6792	1274
842	6799	1266
843	6808	1258
844	6816	1250
845	6825	1242
846	6834	1234
847	6841	1226
848	6849	1218
849	6856	1210
850	6864	1201
851	6870	1193
852	6877	1185
853	6884	1176
854	6890	1168
855	6897	1160
856	6904	1152
857	6911	1143
858	6918	1135
859	6924	1127
860	6932	1119
861	6938	1110
862	6945	1102
863	6952	1094
864	6959	1086
865	6965	1077
866	6971	1069
867	6979	1061
868	6985	1053
869	6993	1045
870	6999	1036
871	7005	1028
872	7013	1020
873	7019	1011
874	7026	1003
875	7032	995
876	7038	987
877	7046	979
878	7052	970
879	7061	962
880	7068	954
881	7075	946
882	7081	938
883	7087	930
884	7094	921
885	7101	913
886	7108	905
887	7114	897
888	7123	889
889	7130	881
890	7136	873
891	7144	864
892	7150	856
893	7157	848
894	7163	840
895	7169	832
896	7177	824
897	7183	815
898	7191	807
899	7197	799
900	7203	791
901	7210	783
902	7217	775
903	7224	767
904	7232	759
905	7242	751
906	7250	743
907	7260	735
908	7268	727
909	7278	719
910	7287	711
911	7294	703
912	7301	695
913	7309	687
914	7316	679
915	7324	671
916	7331	663
917	7339	655
918	7345	647
919	7353	639
920	7360	631
921	7367	623
922	7375	615
923	7381	607
924	7389	599
925	7395	591
926	7403	583
927	7409	574
928	7415	566
929	7423	558
930	7429	550
931	7436	542
932	7442	534
933	7449	526
934	7456	518
935	7462	510
936	7470	502
937	7477	494
938	7484	486
939	7491	478
940	7497	470
941	7504	462
942	7511	454
943	7518	446
944	7524	437
945	7530	429
946	7538	421
947	7544	413
948	7552	405
949	7558	397
950	7564	389
951	7572	381
952	7578	373
953	7586	365
954	7592	357
955	7599	349
956	7606	341
957	7612	333
958	7619	325
959	7625	317
960	7633	309
961	7639	301
962	7648	293
963	7655	285
964	7662	277
965	7671	270
966	7677	262
967	7685	254
968	7691	246
969	7698	238
970	7705	230
971	7711	222
972	7718	214
973	7725	206
974	7732	198
975	7738	190
976	7744	182
977	7752	174
978	7758	166
979	7766	158
980	7772	150
981	7779	142
982	7787	134
983	7793	126
984	7801	118
985	7808	110
986	7815	102
987	7821	95
988	7829	87
989	7835	79
990	7841	71
991	7849	63
992	7855	55
993	7863	47
994	7869	39
995	7876	31
996	7884	23
997	7890	15
998	7899	7
999	7906	0
